,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.2558002121264705,0.6713641204626398,0.1147770664926156,0.09370558809320938,-0.1537932603119716,-0.11318105334946663,0.6673240334694355,-0.6785517804721221,0.183005249911721,-0.061651324498026475,0.1240405862577664
volatile acidity,-0.2558002121264705,1.0,-0.5531362659902898,0.001787491093020931,0.061091764854736226,-0.010598223036004878,0.07630893806085738,0.019535517381596194,0.23901058476854856,-0.26084814815975454,-0.20297996527121973,-0.38942141824211235
citric acid,0.6713641204626398,-0.5531362659902898,1.0,0.14358154422554784,0.2037930549966365,-0.06087901118460248,0.035550506326853665,0.3658674637962955,-0.5417608943235621,0.31273886607892076,0.11044757260060642,0.22587779981907216
residual sugar,0.1147770664926156,0.001787491093020931,0.14358154422554784,1.0,0.05561505297614305,0.18705316881733117,0.2030298871890253,0.3550061942791105,-0.0853738708726305,0.00553728112771819,0.04211500399223014,0.013702975862808185
chlorides,0.09370558809320938,0.061091764854736226,0.2037930549966365,0.05561505297614305,1.0,0.005567083393708306,0.04740295346357173,0.20052198766382004,-0.26356600236794014,0.3712660901135067,-0.22105286702682184,-0.12892475735487616
free sulfur dioxide,-0.1537932603119716,-0.010598223036004878,-0.06087901118460248,0.18705316881733117,0.005567083393708306,1.0,0.6676669082426065,-0.021823397597827855,0.06967929381625616,0.05166570001097102,-0.06935487163088885,-0.050676303908484883
total sulfur dioxide,-0.11318105334946663,0.07630893806085738,0.035550506326853665,0.2030298871890253,0.04740295346357173,0.6676669082426065,1.0,0.0712432438367706,-0.06618772664538404,0.04295107311652134,-0.20559392748931937,-0.185100993419382
density,0.6673240334694355,0.019535517381596194,0.3658674637962955,0.3550061942791105,0.20052198766382004,-0.021823397597827855,0.0712432438367706,1.0,-0.34444955992652665,0.1485363615620481,-0.49463393372174846,-0.17524436441365857
pH,-0.6785517804721221,0.23901058476854856,-0.5417608943235621,-0.0853738708726305,-0.26356600236794014,0.06967929381625616,-0.06618772664538404,-0.34444955992652665,1.0,-0.1958359231321539,0.20204928759470436,-0.056065163955416386
sulphates,0.183005249911721,-0.26084814815975454,0.31273886607892076,0.00553728112771819,0.3712660901135067,0.05166570001097102,0.04295107311652134,0.1485363615620481,-0.1958359231321539,1.0,0.09365668165321021,0.2513321396114493
alcohol,-0.061651324498026475,-0.20297996527121973,0.11044757260060642,0.04211500399223014,-0.22105286702682184,-0.06935487163088885,-0.20559392748931937,-0.49463393372174846,0.20204928759470436,0.09365668165321021,1.0,0.4758296859702435
quality,0.1240405862577664,-0.38942141824211235,0.22587779981907216,0.013702975862808185,-0.12892475735487616,-0.050676303908484883,-0.185100993419382,-0.17524436441365857,-0.056065163955416386,0.2513321396114493,0.4758296859702435,1.0
